addressZZZS,cityZZZS,lat,lon,street,streetAlt,housenumber,housenumberAppendix,city,cityAlt,municipality,zipCode,zipName
TRG 27,8216 MIRNA PEČ,45.85842,15.08385,Trg,,27,,Mirna Peč,,Mirna Peč,8216,Mirna Peč
ULICA DR. HROVATA 4,2270 ORMOŽ,46.40724,16.14333,Ulica dr. Hrovata,,4,,Ormož,,Ormož,2270,Ormož
ULICA DR. HROVATA 4,2270 ORMOŽ,46.40724,16.14333,Ulica dr. Hrovata,,4,,Ormož,,Ormož,2270,Ormož
ULICA TALCEV 17,8351 STRAŽA PRI NOVEM MESTU,45.78181,15.07112,Ulica talcev,,17,,Straža,,Straža,8351,Straža pri Novem mestu
POT V TOPLICE 9,2250 PTUJ,46.42154,15.85575,Pot v toplice,,9,,Ptuj,,Ptuj,2250,Ptuj
BLEJSKA CESTA 10,4290 TRŽIČ,46.36361,14.30654,Blejska cesta,,10,,Tržič,,Tržič,4290,Tržič
MAISTROVA ULICA 22,2230 LENART V SLOV. GORICAH,46.57734,15.82896,Maistrova ulica,,22,,Lenart v Slov. goricah,,Lenart,2230,Lenart v Slov. goricah
KOCLJEVA ULICA 10,9000 MURSKA SOBOTA,46.66002,16.16316,Kocljeva ulica,,10,,Murska Sobota,,Murska Sobota,9000,Murska Sobota
POTRČEVA CESTA 15,2250 PTUJ,46.42472,15.87653,Potrčeva cesta,,15,,Ptuj,,Ptuj,2250,Ptuj
STARA CESTA 10,4220 ŠKOFJA LOKA,46.16618,14.31281,Stara cesta,,10,,Škofja Loka,,Škofja Loka,4220,Škofja Loka
RADEHOVA 5 C,2230 LENART V SLOV. GORICAH,46.56767,15.84591,Radehova,,5,C,Radehova,,Lenart,2230,Lenart v Slov. goricah
KOPALIŠKA CESTA 7,4240 RADOVLJICA,46.34702,14.17201,Kopališka cesta,,7,,Radovljica,,Radovljica,4240,Radovljica
ULICA OKTOBRSKE REVOLUCIJE 11,6310 IZOLA - ISOLA,45.53464,13.66078,Ulica oktobrske revolucije,Via Rivoluzione d'Ottobre,11,,Izola,Isola,Izola,6310,Izola - Isola
ZORANINA ULICA 3,1234 MENGEŠ,46.16207,14.57100,Zoranina ulica,,3,,Mengeš,,Mengeš,1234,Mengeš
CESTA V ZADOBROVO 12,3000 CELJE,46.25725,15.29632,Cesta v Zadobrovo,,12,,Trnovlje pri Celju,,Celje,3000,Celje
CESTA LEONA DOBROTINŠKA 5,3230 ŠENTJUR,46.21421,15.39394,Cesta Leona Dobrotinška,,5,,Šentjur,,Šentjur,3230,Šentjur
SOKOLSKA ULICA 5,1295 IVANČNA GORICA,45.93826,14.80470,Sokolska ulica,,5,,Ivančna Gorica,,Ivančna Gorica,1295,Ivančna Gorica
GORENJSKA CESTA 8,4240 RADOVLJICA,46.34202,14.17349,Gorenjska cesta,,8,,Radovljica,,Radovljica,4240,Radovljica
NOVI DOM 11,1430 HRASTNIK,46.14030,15.08513,Novi dom,,11,,Hrastnik,,Hrastnik,1430,Hrastnik
ULICA ILIJE GREGORIČA 18 A,8270 KRŠKO,45.95890,15.50201,Ulica Ilije Gregoriča,,18,A,Krško,,Krško,8270,Krško
KOCLJEVA ULICA 10,9000 MURSKA SOBOTA,46.66002,16.16316,Kocljeva ulica,,10,,Murska Sobota,,Murska Sobota,9000,Murska Sobota
KOROŠKA CESTA 113 C,2000 MARIBOR,46.56093,15.62844,Koroška cesta,,113,C,Maribor,,Maribor,2000,Maribor
KOLEZIJSKA ULICA 25,1000 LJUBLJANA,46.04145,14.49750,Kolezijska ulica,,25,,Ljubljana,,Ljubljana,1000,Ljubljana
MARKOVCI 43,2281 MARKOVCI,46.39430,15.93041,Markovci,,43,,Markovci,,Markovci,2281,Markovci
ULICA OTONA ŽUPANČIČA 3,5280 IDRIJA,46.00220,14.03036,Ulica Otona Župančiča,,3,,Idrija,,Idrija,5280,Idrija
MESTNI TRG 2,1230 DOMŽALE,46.13975,14.59617,Mestni trg,,2,,Domžale,,Domžale,1230,Domžale
GREGORČIČEVA ULICA 11,1000 LJUBLJANA,46.04822,14.50041,Gregorčičeva ulica,,11,,Ljubljana,,Ljubljana,1000,Ljubljana
CIRKULANE 28,2282 CIRKULANE,46.34593,15.99901,Cirkulane,,28,,Cirkulane,,Cirkulane,2282,Cirkulane
SLOVENSKI TRG 4,2352 SELNICA OB DRAVI,46.55150,15.49303,Slovenski trg,,4,,Selnica ob Dravi,,Selnica ob Dravi,2352,Selnica ob Dravi
PARTIZANSKA POT 8 A,1270 LITIJA,46.05389,14.83656,Partizanska pot,,8,A,Litija,,Litija,1270,Litija
NA VASI 11,3205 VITANJE,46.38261,15.29604,Na vasi,,11,,Vitanje,,Vitanje,3205,Vitanje
NOVI TRG 26,1241 KAMNIK,46.22139,14.61328,Novi trg,,26,,Kamnik,,Kamnik,1241,Kamnik
TRG SVOBODE 26,2310 SLOVENSKA BISTRICA,46.39244,15.57267,Trg svobode,,26,,Slovenska Bistrica,,Slovenska Bistrica,2310,Slovenska Bistrica
PREŠERNOVA ULICA 8,4240 RADOVLJICA,46.34525,14.17034,Prešernova ulica,,8,,Radovljica,,Radovljica,4240,Radovljica
TBILISIJSKA ULICA 59,1000 LJUBLJANA,46.03762,14.47887,Tbilisijska ulica,,59,,Ljubljana,,Ljubljana,1000,Ljubljana
GOSPOSVETSKA ULICA 10 A,4000 KRANJ,46.24862,14.35322,Gosposvetska ulica,,10,A,Kranj,,Kranj,4000,Kranj
PREČNA ULICA 2,6230 POSTOJNA,45.77205,14.21042,Prečna ulica,,2,,Postojna,,Postojna,6230,Postojna
PODVRH 24,3330 MOZIRJE,46.33896,14.95551,Podvrh,,24,,Mozirje,,Mozirje,3330,Mozirje
FRANKOVO NASELJE 51,4220 ŠKOFJA LOKA,46.16964,14.32918,Frankovo naselje,,51,,Škofja Loka,,Škofja Loka,4220,Škofja Loka
ULICA OB IGRIŠČU 3,9226 MORAVSKE TOPLICE,46.68736,16.21683,Ulica ob igrišču,,3,,Moravske Toplice,,Moravske Toplice,9226,Moravske Toplice
TRG 58 A,2391 PREVALJE,46.54639,14.91692,Trg,,58,A,Prevalje,,Prevalje,2391,Prevalje
LJUBLJANSKA CESTA 1 A,1330 KOČEVJE,45.63986,14.85913,Ljubljanska cesta,,1,A,Kočevje,,Kočevje,1330,Kočevje
LITIJSKA CESTA 43,1000 LJUBLJANA,46.04812,14.54356,Litijska cesta,,43,,Ljubljana,,Ljubljana,1000,Ljubljana
KIDRIČEVA CESTA 38 A,4000 KRANJ,46.24863,14.35402,Kidričeva cesta,,38,A,Kranj,,Kranj,4000,Kranj
PREČNA ULICA 4,6230 POSTOJNA,45.77151,14.21020,Prečna ulica,,4,,Postojna,,Postojna,6230,Postojna
PARTIZANSKA POT 16,2380 SLOVENJ GRADEC,46.50693,15.08202,Partizanska pot,,16,,Slovenj Gradec,,Slovenj Gradec,2380,Slovenj Gradec
POLICE 96,9250 GORNJA RADGONA,46.66371,15.96145,Police,,96,,Police,,Gornja Radgona,9250,Gornja Radgona
PRI BRANČURNIKU 10,2391 PREVALJE,46.54492,14.93243,Pri Brančurniku,,10,,Prevalje,,Prevalje,2391,Prevalje
VODNIKOVA CESTA 1,3320 VELENJE,46.36151,15.11636,Vodnikova cesta,,1,,Velenje,,Velenje,3320,Velenje
CESTA 6. MAJA 11,1360 VRHNIKA,45.96278,14.29358,Cesta 6. maja,,11,,Vrhnika,,Vrhnika,1360,Vrhnika
NOVI TRG 43 A,1241 KAMNIK,46.21914,14.61117,Novi trg,,43,A,Kamnik,,Kamnik,1241,Kamnik
VRBANSKA CESTA 97,2351 KAMNICA,46.57321,15.61582,Vrbanska cesta,,97,,Kamnica,,Maribor,2351,Kamnica
PARTIZANSKA POT 16,2380 SLOVENJ GRADEC,46.50693,15.08202,Partizanska pot,,16,,Slovenj Gradec,,Slovenj Gradec,2380,Slovenj Gradec
ULICA GRADNIKOVE BRIGADE 7,5000 NOVA GORICA,45.95843,13.64623,Ulica Gradnikove brigade,,7,,Nova Gorica,,Nova Gorica,5000,Nova Gorica
BISTRIŠKA CESTA 62,2319 POLJČANE,46.31290,15.57823,Bistriška cesta,,62,,Poljčane,,Poljčane,2319,Poljčane
LINHARTOVA CESTA 5,1000 LJUBLJANA,46.06405,14.50981,Linhartova cesta,,5,,Ljubljana,,Ljubljana,1000,Ljubljana
PESNICA PRI MARIBORU 42 C,2211 PESNICA PRI MARIBORU,46.60846,15.67654,Pesnica pri Mariboru,,42,C,Pesnica pri Mariboru,,Pesnica,2211,Pesnica pri Mariboru
PODGORCI 48,2273 PODGORCI,46.42049,16.04944,Podgorci,,48,,Podgorci,,Ormož,2273,Podgorci
CESTA 6. MAJA 11,1360 VRHNIKA,45.96278,14.29358,Cesta 6. maja,,11,,Vrhnika,,Vrhnika,1360,Vrhnika
MARTINČEVA ULICA 30,1000 LJUBLJANA,46.07876,14.46871,Martinčeva ulica,,30,,Ljubljana,,Ljubljana,1000,Ljubljana
OBRTNIŠKA ULICA 30,6000 KOPER - CAPODISTRIA,45.53069,13.73563,Obrtniška ulica,Via degli Artigiani,30,,Koper,Capodistria,Koper,6000,Koper - Capodistria
TEKSTILNA ULICA 17,4000 KRANJ,46.24628,14.36588,Tekstilna ulica,,17,,Kranj,,Kranj,4000,Kranj
LENDAVSKA ULICA 18,9000 MURSKA SOBOTA,46.66410,16.16828,Lendavska ulica,,18,,Murska Sobota,,Murska Sobota,9000,Murska Sobota
JEZERO 1,1352 PRESERJE,45.97634,14.41959,Jezero,,1,,Jezero,,Brezovica,1352,Preserje
DELLAVALLEJEVA ULICA 3,6000 KOPER - CAPODISTRIA,45.54870,13.73094,Dellavallejeva ulica,Via Luciano Dellavalle,3,,Koper,Capodistria,Koper,6000,Koper - Capodistria
POD CVINGERJEM 33,8350 DOLENJSKE TOPLICE,45.75434,15.05436,Pod Cvingerjem,,33,,Dolenjske Toplice,,Dolenjske Toplice,8350,Dolenjske Toplice
PLETERŠNIKOVA ULICA 1,8250 BREŽICE,45.90908,15.59631,Pleteršnikova ulica,,1,,Brežice,,Brežice,8250,Brežice
PODLUBNIK 341,4220 ŠKOFJA LOKA,46.17432,14.29072,Podlubnik,,341,,Škofja Loka,,Škofja Loka,4220,Škofja Loka
