addressZZZS,cityZZZS,lat,lon,street,streetAlt,housenumber,housenumberAppendix,city,cityAlt,municipality,zipCode,zipName
PRVOMAJSKA CESTA 5,8310 ŠENTJERNEJ,45.84414,15.33949,Prvomajska cesta,,5,,Šentjernej,,Šentjernej,8310,Šentjernej
JENKOVA ULICA 20,3000 CELJE,46.23594,15.26216,Jenkova ulica,,20,,Celje,,Celje,3000,Celje
KRIŽEVCI PRI LJUTOMERU 34 A,9242 KRIŽEVCI PRI LJUTOMERU,46.56666,16.13705,Križevci pri Ljutomeru,,34,A,Križevci pri Ljutomeru,,Križevci,9242,Križevci pri Ljutomeru
DELAVSKA POT 4,8340 ČRNOMELJ,45.57549,15.18753,Delavska pot,,4,,Črnomelj,,Črnomelj,8340,Črnomelj
POD HRIBOM 12,2212 ŠENTILJ V SLOV. GORICAH,46.67974,15.65495,Pod hribom,,12,,Šentilj v Slov. goricah,,Šentilj,2212,Šentilj v Slov. goricah
ULICA BRATOV KOMEL 25,1210 LJUBLJANA - ŠENTVID,46.09548,14.47256,Ulica bratov Komel,,25,,Ljubljana,,Ljubljana,1210,Ljubljana - Šentvid
ULICA 15.MAJA 19,6000 KOPER - CAPODISTRIA,45.53713,13.72967,Ulica 15.maja,Via XV maggio,19,,Koper,Capodistria,Koper,6000,Koper - Capodistria
MLADINSKA CESTA 1,4260 BLED,46.37140,14.10909,Mladinska cesta,,1,,Bled,,Bled,4260,Bled
CESTA MARŠALA TITA 78,4270 JESENICE,46.44000,14.04461,Cesta maršala Tita,,78,,Jesenice,,Jesenice,4270,Jesenice
GOSPOSVETSKA ULICA 10,4000 KRANJ,46.24890,14.35325,Gosposvetska ulica,,10,,Kranj,,Kranj,4000,Kranj
KOPALIŠKA CESTA 7,4240 RADOVLJICA,46.34702,14.17201,Kopališka cesta,,7,,Radovljica,,Radovljica,4240,Radovljica
BLEJSKA CESTA 10,4290 TRŽIČ,46.36361,14.30654,Blejska cesta,,10,,Tržič,,Tržič,4290,Tržič
STARA CESTA 10,4220 ŠKOFJA LOKA,46.16618,14.31281,Stara cesta,,10,,Škofja Loka,,Škofja Loka,4220,Škofja Loka
PARTIZANSKA POT 16,2380 SLOVENJ GRADEC,46.50693,15.08202,Partizanska pot,,16,,Slovenj Gradec,,Slovenj Gradec,2380,Slovenj Gradec
DOLENJA BREZOVICA 11,1352 PRESERJE,45.94773,14.42655,Dolenja Brezovica,,11,,Dolenja Brezovica,,Brezovica,1352,Preserje
ULICA OTONA ŽUPANČIČA 3,8340 ČRNOMELJ,45.57421,15.19108,Ulica Otona Župančiča,,3,,Črnomelj,,Črnomelj,8340,Črnomelj
PARTIZANSKA POT 16,2380 SLOVENJ GRADEC,46.50693,15.08202,Partizanska pot,,16,,Slovenj Gradec,,Slovenj Gradec,2380,Slovenj Gradec
CESTA MARŠALA TITA 78,4270 JESENICE,46.44000,14.04461,Cesta maršala Tita,,78,,Jesenice,,Jesenice,4270,Jesenice
BORŠTNIKOVA ULICA 79,2000 MARIBOR,46.53511,15.62851,Borštnikova ulica,,79,,Maribor,,Maribor,2000,Maribor
CESTA V MESTNI LOG 55,1000 LJUBLJANA,46.03620,14.48957,Cesta v Mestni log,,55,,Ljubljana,,Ljubljana,1000,Ljubljana
NA SOSESKI 14,2000 MARIBOR,46.53872,15.63408,Na soseski,,14,,Maribor,,Maribor,2000,Maribor
KALOHOVA ULICA 18,2000 MARIBOR,46.55507,15.61747,Kalohova ulica,,18,,Maribor,,Maribor,2000,Maribor
HRENOVA ULICA 6,2000 MARIBOR,46.55432,15.62367,Hrenova ulica,,6,,Maribor,,Maribor,2000,Maribor
POBREŠKA CESTA 6,2000 MARIBOR,46.55441,15.64665,Pobreška cesta,,6,,Maribor,,Maribor,2000,Maribor
RADGONSKA CESTA 2,9252 RADENCI,46.64125,16.04391,Radgonska cesta,,2,,Radenci,,Radenci,9252,Radenci
LEVSTIKOVA ULICA 2,6210 SEŽANA,45.70870,13.87106,Levstikova ulica,,2,,Sežana,,Sežana,6210,Sežana
CESTA V MESTNI LOG 55,1000 LJUBLJANA,46.03620,14.48957,Cesta v Mestni log,,55,,Ljubljana,,Ljubljana,1000,Ljubljana
KORENSKA CESTA 31,2241 SPODNJI DUPLEK,46.50402,15.75597,Korenska cesta,,31,,Spodnji Duplek,,Duplek,2241,Spodnji Duplek
CANKOVA 65 B,9261 CANKOVA,46.71858,16.01850,Cankova,,65,B,Cankova,,Cankova,9261,Cankova
DUNAJSKA CESTA 129,1000 LJUBLJANA,46.07794,14.51189,Dunajska cesta,,129,,Ljubljana,,Ljubljana,1000,Ljubljana
NOVI TRG 26 A,1241 KAMNIK,46.22082,14.61321,Novi trg,,26,A,Kamnik,,Kamnik,1241,Kamnik
ZRKOVSKA CESTA 67,2000 MARIBOR,46.55598,15.67174,Zrkovska cesta,,67,,Maribor,,Maribor,2000,Maribor
LJUBLJANSKA ULICA 9,2000 MARIBOR,46.55337,15.64665,Ljubljanska ulica,,9,,Maribor,,Maribor,2000,Maribor
ULICA BRATOV VOŠNJAKOV 12,3000 CELJE,46.24598,15.26429,Ulica bratov Vošnjakov,,12,,Celje,,Celje,3000,Celje
ŠTEFAN PRI TREBNJEM 40,8210 TREBNJE,45.90867,14.98839,Štefan pri Trebnjem,,40,,Štefan pri Trebnjem,,Trebnje,8210,Trebnje
CESTA PREKOMORSKIH BRIGAD 25,5290 ŠEMPETER PRI GORICI,45.93053,13.63792,Cesta Prekomorskih brigad,,25,,Šempeter pri Gorici,,Šempeter-Vrtojba,5290,Šempeter pri Gorici
PETKOVA ULICA 16,1231 LJUBLJANA - ČRNUČE,46.09907,14.52792,Petkova ulica,,16,,Ljubljana,,Ljubljana,1231,Ljubljana - Črnuče
ZASAVSKA CESTA 95,1231 LJUBLJANA - ČRNUČE,46.09189,14.57495,Zasavska cesta,,95,,Ljubljana,,Ljubljana,1231,Ljubljana - Črnuče
DOLSKO 55,1262 DOL PRI LJUBLJANI,46.09385,14.67776,Dolsko,,55,,Dolsko,,Dol pri Ljubljani,1262,Dol pri Ljubljani
NOVI DOM 11,1430 HRASTNIK,46.14030,15.08513,Novi dom,,11,,Hrastnik,,Hrastnik,1430,Hrastnik
KAJUHOVA ULICA 34,6310 IZOLA - ISOLA,45.53002,13.66787,Kajuhova ulica,Via Kajuh,34,,Izola,Isola,Izola,6310,Izola - Isola
KAMNIŠKA CESTA 24,1235 RADOMLJE,46.16800,14.59490,Kamniška cesta,,24,,Preserje pri Radomljah,,Domžale,1235,Radomlje
CELJSKA CESTA 24 B,3212 VOJNIK,46.29098,15.30088,Celjska cesta,,24,B,Vojnik,,Vojnik,3212,Vojnik
LACKOVA CESTA 269,2341 LIMBUŠ,46.55387,15.58161,Lackova cesta,,269,,Limbuš,,Maribor,2341,Limbuš
LJUBLJANSKA ULICA 5,2000 MARIBOR,46.55289,15.64858,Ljubljanska ulica,,5,,Maribor,,Maribor,2000,Maribor
DRAGA 1,1292 IG,45.94726,14.54796,Draga,,1,,Draga,,Ig,1292,Ig
GORIŠNICA 65,2272 GORIŠNICA,46.41047,16.01167,Gorišnica,,65,,Gorišnica,,Gorišnica,2272,Gorišnica
PREŠERNOVA CESTA 52,4260 BLED,46.37308,14.10420,Prešernova cesta,,52,,Bled,,Bled,4260,Bled
OPEKARSKA CESTA 11,1000 LJUBLJANA,46.03951,14.50753,Opekarska cesta,,11,,Ljubljana,,Ljubljana,1000,Ljubljana
SNEBERSKA CESTA 128 B,1260 LJUBLJANA - POLJE,46.07327,14.58924,Sneberska cesta,,128,B,Ljubljana,,Ljubljana,1260,Ljubljana - Polje
SAVSKA CESTA 10,1000 LJUBLJANA,46.06433,14.52589,Savska cesta,,10,,Ljubljana,,Ljubljana,1000,Ljubljana
VODNIKOVA CESTA 1,3320 VELENJE,46.36151,15.11636,Vodnikova cesta,,1,,Velenje,,Velenje,3320,Velenje
TURKOVA ULICA 8,8000 NOVO MESTO,45.83041,15.15729,Turkova ulica,,8,,Novo mesto,,Novo mesto,8000,Novo mesto
ULICA POHORSKEGA BATALJONA 11,2317 OPLOTNICA,46.38817,15.44733,Ulica Pohorskega bataljona,,11,,Oplotnica,,Oplotnica,2317,Oplotnica
CVETKOVA ULICA 10,9000 MURSKA SOBOTA,46.66089,16.16751,Cvetkova ulica,,10,,Murska Sobota,,Murska Sobota,9000,Murska Sobota
RETEČE 205,4220 ŠKOFJA LOKA,46.15779,14.37091,Reteče,,205,,Reteče,,Škofja Loka,4220,Škofja Loka
HRUŠEVSKA CESTA 6 A,1000 LJUBLJANA,46.04676,14.54206,Hruševska cesta,,6,A,Ljubljana,,Ljubljana,1000,Ljubljana
MESTNI TRG 17,3210 SLOVENSKE KONJICE,46.33998,15.42862,Mestni trg,,17,,Slovenske Konjice,,Slovenske Konjice,3210,Slovenske Konjice
ULICA STANETA ROZMANA 11 A,9000 MURSKA SOBOTA,46.66162,16.16734,Ulica Staneta Rozmana,,11,A,Murska Sobota,,Murska Sobota,9000,Murska Sobota
KOCLJEVO NASELJE 9,9231 BELTINCI,46.60880,16.23201,Kocljevo naselje,,9,,Beltinci,,Beltinci,9231,Beltinci
ZASAVSKA CESTA 58 D,4000 KRANJ,46.21782,14.36865,Zasavska cesta,,58,D,Kranj,,Kranj,4000,Kranj
VODOVODNA CESTA 109,1000 LJUBLJANA,46.07871,14.50194,Vodovodna cesta,,109,,Ljubljana,,Ljubljana,1000,Ljubljana
METELKOVA ULICA 15,1000 LJUBLJANA,46.05705,14.51547,Metelkova ulica,,15,,Ljubljana,,Ljubljana,1000,Ljubljana
TRATA 7 A,4224 GORENJA VAS,46.10238,14.14240,Trata,,7,A,Gorenja vas,,Gorenja vas-Poljane,4224,Gorenja vas
PREŠERNOVA ULICA 6,3310 ŽALEC,46.25093,15.16216,Prešernova ulica,,6,,Žalec,,Žalec,3310,Žalec
PREŠERNOVA ULICA 6,4240 RADOVLJICA,46.34494,14.17058,Prešernova ulica,,6,,Radovljica,,Radovljica,4240,Radovljica
VODNIKOVA CESTA 1,3320 VELENJE,46.36151,15.11636,Vodnikova cesta,,1,,Velenje,,Velenje,3320,Velenje
VODNIKOVA CESTA 187,1000 LJUBLJANA,46.07405,14.47528,Vodnikova cesta,,187,,Ljubljana,,Ljubljana,1000,Ljubljana
DOLSKO 55,1262 DOL PRI LJUBLJANI,46.09385,14.67776,Dolsko,,55,,Dolsko,,Dol pri Ljubljani,1262,Dol pri Ljubljani
MALA VAS 32 B,2272 GORIŠNICA,46.39088,16.00524,Mala vas,,32,B,Mala vas,,Gorišnica,2272,Gorišnica
TRIMLINI 56 A,9220 LENDAVA - LENDVA,46.54414,16.46532,Trimlini,Hármasmalom,56,A,Trimlini,Hármasmalom,Lendava,9220,Lendava - Lendva
ZADRUŽNA CESTA 33,8340 ČRNOMELJ,45.57914,15.19513,Zadružna cesta,,33,,Črnomelj,,Črnomelj,8340,Črnomelj
CESTA SOLINARJEV 1,6320 PORTOROŽ - PORTOROSE,45.50452,13.60205,Cesta solinarjev,Strada dei Salinari,1,,Lucija,Lucia,Piran,6320,Portorož - Portorose
KOVAŠKA CESTA 25 B,3214 ZREČE,46.37116,15.39114,Kovaška cesta,,25,B,Zreče,,Zreče,3214,Zreče
GRAŠČINSKA CESTA 11,3312 PREBOLD,46.23604,15.09094,Graščinska cesta,,11,,Prebold,,Prebold,3312,Prebold
VALVASORJEVA ULICA 38,2000 MARIBOR,46.55444,15.63680,Valvasorjeva ulica,,38,,Maribor,,Maribor,2000,Maribor
GREGORČIČEVA ULICA 10,4000 KRANJ,46.24313,14.35717,Gregorčičeva ulica,,10,,Kranj,,Kranj,4000,Kranj
MAJNIKOVA ULICA 1,1310 RIBNICA,45.74238,14.72596,Majnikova ulica,,1,,Ribnica,,Ribnica,1310,Ribnica
MAJNIKOVA ULICA 1,1310 RIBNICA,45.74238,14.72596,Majnikova ulica,,1,,Ribnica,,Ribnica,1310,Ribnica
CESTA K DRAVI 8,2241 SPODNJI DUPLEK,46.50113,15.74875,Cesta k Dravi,,8,,Spodnji Duplek,,Duplek,2241,Spodnji Duplek
PREŠERNOVA ULICA 6,3310 ŽALEC,46.25093,15.16216,Prešernova ulica,,6,,Žalec,,Žalec,3310,Žalec
TRNOVSKA VAS 42 A,2254 TRNOVSKA VAS,46.51993,15.88594,Trnovska vas,,42,A,Trnovska vas,,Trnovska vas,2254,Trnovska vas
LJUBLJANSKA CESTA 16,8311 KOSTANJEVICA NA KRKI,45.84460,15.41834,Ljubljanska cesta,,16,,Kostanjevica na Krki,,Kostanjevica na Krki,8311,Kostanjevica na Krki
KOPITARJEVA ULICA 4,1000 LJUBLJANA,46.05131,14.51092,Kopitarjeva ulica,,4,,Ljubljana,,Ljubljana,1000,Ljubljana
CELJSKA CESTA 16,3240 ŠMARJE PRI JELŠAH,46.22926,15.51610,Celjska cesta,,16,,Šmarje pri Jelšah,,Šmarje pri Jelšah,3240,Šmarje pri Jelšah
ULICA DUŠANA KVEDRA 27,3230 ŠENTJUR,46.21817,15.39597,Ulica Dušana Kvedra,,27,,Šentjur,,Šentjur,3230,Šentjur
CESTA 24. JUNIJA 23,1231 LJUBLJANA - ČRNUČE,46.09681,14.52692,Cesta 24. junija,,23,,Ljubljana,,Ljubljana,1231,Ljubljana - Črnuče
GORENJSKA ULICA 37,4260 BLED,46.34715,14.12389,Gorenjska ulica,,37,,Ribno,,Bled,4260,Bled
SLOVENSKOGORIŠKA CESTA 39,2250 PTUJ,46.43302,15.88830,Slovenskogoriška cesta,,39,,Ptuj,,Ptuj,2250,Ptuj
VURNIKOVA ULICA 9,1000 LJUBLJANA,46.06262,14.51543,Vurnikova ulica,,9,,Ljubljana,,Ljubljana,1000,Ljubljana
ULICA LOJZETA SPACALA 10,1000 LJUBLJANA,46.06747,14.47210,Ulica Lojzeta Spacala,,10,,Ljubljana,,Ljubljana,1000,Ljubljana
BRASLOVČE 27,3314 BRASLOVČE,46.28760,15.03997,Braslovče,,27,,Braslovče,,Braslovče,3314,Braslovče
GUBČEVA ULICA 10,3000 CELJE,46.22956,15.26637,Gubčeva ulica,,10,,Celje,,Celje,3000,Celje
CESTA XIV. DIVIZIJE 30,2000 MARIBOR,46.55159,15.66267,Cesta XIV. divizije,,30,,Maribor,,Maribor,2000,Maribor
FAZAN 1,6320 PORTOROŽ - PORTOROSE,45.50642,13.60720,Fazan,Fasano,1,,Lucija,Lucia,Piran,6320,Portorož - Portorose
TRG SVOBODE 14,8290 SEVNICA,46.01060,15.30248,Trg svobode,,14,,Sevnica,,Sevnica,8290,Sevnica
OBLAKOVA ULICA 4,2000 MARIBOR,46.54231,15.63117,Oblakova ulica,,4,,Maribor,,Maribor,2000,Maribor
POT NA POLŠCO 21,8270 KRŠKO,45.96386,15.49039,Pot na Polšco,,21,,Krško,,Krško,8270,Krško
STADIONSKA ULICA 4,2342 RUŠE,46.54277,15.50623,Stadionska ulica,,4,,Ruše,,Ruše,2342,Ruše
TROJANSKA CESTA 13,1225 LUKOVICA,46.17023,14.69393,Trojanska cesta,,13,,Lukovica pri Domžalah,,Lukovica,1225,Lukovica
SLADKI VRH 5,2214 SLADKI VRH,46.69756,15.73680,Sladki Vrh,,5,,Sladki Vrh,,Šentilj,2214,Sladki Vrh
ČERNELČEVA CESTA 15,8250 BREŽICE,45.90849,15.59354,Černelčeva cesta,,15,,Brežice,,Brežice,8250,Brežice
OBLAKOVA ULICA 5,3000 CELJE,46.23463,15.26257,Oblakova ulica,,5,,Celje,,Celje,3000,Celje
ULICA PADLIH BORCEV 13 A,5290 ŠEMPETER PRI GORICI,45.93020,13.64083,Ulica padlih borcev,,13,A,Šempeter pri Gorici,,Šempeter-Vrtojba,5290,Šempeter pri Gorici
POTRČEVA CESTA 23,2250 PTUJ,46.42609,15.87709,Potrčeva cesta,,23,,Ptuj,,Ptuj,2250,Ptuj
POLJE 40,6310 IZOLA - ISOLA,45.54442,13.68709,Polje,Polje,40,,Izola,Isola,Izola,6310,Izola - Isola
CESTA MARŠALA TITA 112,4270 JESENICE,46.44300,14.03697,Cesta maršala Tita,,112,,Jesenice,,Jesenice,4270,Jesenice
ULICA DR. VRBNJAKA 6,9000 MURSKA SOBOTA,46.65013,16.18727,Ulica dr. Vrbnjaka,,6,,Rakičan,,Murska Sobota,9000,Murska Sobota
ŠMIHELSKA CESTA 1,8000 NOVO MESTO,45.79995,15.16385,Šmihelska cesta,,1,,Novo mesto,,Novo mesto,8000,Novo mesto
GOSPOSVETSKA CESTA 1,2380 SLOVENJ GRADEC,46.50766,15.08173,Gosposvetska cesta,,1,,Slovenj Gradec,,Slovenj Gradec,2380,Slovenj Gradec
RUDARSKA CESTA 9,1420 TRBOVLJE,46.15398,15.04710,Rudarska cesta,,9,,Trbovlje,,Trbovlje,1420,Trbovlje
KOPALIŠKA CESTA 7,4240 RADOVLJICA,46.34702,14.17201,Kopališka cesta,,7,,Radovljica,,Radovljica,4240,Radovljica
DROŽANJSKA CESTA 90,8290 SEVNICA,46.01346,15.31147,Drožanjska cesta,,90,,Sevnica,,Sevnica,8290,Sevnica
BANIJA 4,1292 IG,45.95897,14.52720,Banija,,4,,Ig,,Ig,1292,Ig
STADIONSKA ULICA 4,2342 RUŠE,46.54277,15.50623,Stadionska ulica,,4,,Ruše,,Ruše,2342,Ruše
NA JASI 6,1241 KAMNIK,46.20853,14.61180,Na jasi,,6,,Kamnik,,Kamnik,1241,Kamnik
ZDRAVSTVENA POT 1,1000 LJUBLJANA,46.04729,14.51594,Zdravstvena pot,,1,,Ljubljana,,Ljubljana,1000,Ljubljana
LJUBLJANSKA CESTA 104,1230 DOMŽALE,46.14268,14.59561,Ljubljanska cesta,,104,,Domžale,,Domžale,1230,Domžale
TRG SVOBODE 9,4226 ŽIRI,46.04754,14.11159,Trg svobode,,9,,Žiri,,Žiri,4226,Žiri
ŠMIHELSKA CESTA 7,3330 MOZIRJE,46.34067,14.96434,Šmihelska cesta,,7,,Mozirje,,Mozirje,3330,Mozirje
ULICA BORISA WINTERJA 10,2310 SLOVENSKA BISTRICA,46.38857,15.57340,Ulica Borisa Winterja,,10,,Slovenska Bistrica,,Slovenska Bistrica,2310,Slovenska Bistrica
PESNICA PRI MARIBORU 42 C,2211 PESNICA PRI MARIBORU,46.60846,15.67654,Pesnica pri Mariboru,,42,C,Pesnica pri Mariboru,,Pesnica,2211,Pesnica pri Mariboru
ALJAŽEVA ULICA 30,1000 LJUBLJANA,46.06839,14.49548,Aljaževa ulica,,30,,Ljubljana,,Ljubljana,1000,Ljubljana
ROŠKA CESTA 18,1330 KOČEVJE,45.63938,14.86562,Roška cesta,,18,,Kočevje,,Kočevje,1330,Kočevje
CESTA MARŠALA TITA 78,4270 JESENICE,46.44000,14.04461,Cesta maršala Tita,,78,,Jesenice,,Jesenice,4270,Jesenice
MESTNI TRG 2,1230 DOMŽALE,46.13975,14.59617,Mestni trg,,2,,Domžale,,Domžale,1230,Domžale
LJUBLJANSKA CESTA 14,3000 CELJE,46.23244,15.25968,Ljubljanska cesta,,14,,Celje,,Celje,3000,Celje
ZORANINA ULICA 3,1234 MENGEŠ,46.16207,14.57100,Zoranina ulica,,3,,Mengeš,,Mengeš,1234,Mengeš
TEHNOLOŠKI PARK 20,1000 LJUBLJANA,46.05045,14.46030,Tehnološki park,,20,,Ljubljana,,Ljubljana,1000,Ljubljana
LAVRIČEVA ULICA 1,2000 MARIBOR,46.55817,15.63600,Lavričeva ulica,,1,,Maribor,,Maribor,2000,Maribor
NA KLANCU 22,1360 VRHNIKA,45.96633,14.29340,Na klancu,,22,,Vrhnika,,Vrhnika,1360,Vrhnika
ULICA GRADNIKOVE BRIGADE 7,5000 NOVA GORICA,45.95843,13.64623,Ulica Gradnikove brigade,,7,,Nova Gorica,,Nova Gorica,5000,Nova Gorica
CELOVŠKA CESTA 4,1000 LJUBLJANA,46.05730,14.50122,Celovška cesta,,4,,Ljubljana,,Ljubljana,1000,Ljubljana
CELOVŠKA CESTA 4,1000 LJUBLJANA,46.05730,14.50122,Celovška cesta,,4,,Ljubljana,,Ljubljana,1000,Ljubljana
CELOVŠKA CESTA 4,1000 LJUBLJANA,46.05730,14.50122,Celovška cesta,,4,,Ljubljana,,Ljubljana,1000,Ljubljana
CELOVŠKA CESTA 4,1000 LJUBLJANA,46.05730,14.50122,Celovška cesta,,4,,Ljubljana,,Ljubljana,1000,Ljubljana
GLAVARJEVA CESTA 61 A,1218 KOMENDA,46.20453,14.53935,Glavarjeva cesta,,61,A,Komenda,,Komenda,1218,Komenda
NA PALCAH 2,1211 LJUBLJANA - ŠMARTNO,46.12111,14.47331,Na Palcah,,2,,Ljubljana,,Ljubljana,1211,Ljubljana - Šmartno
ALJAŽEVA ULICA 9,1234 MENGEŠ,46.16990,14.57643,Aljaževa ulica,,9,,Mengeš,,Mengeš,1234,Mengeš
TOVARNIŠKA CESTA 2 B,5270 AJDOVŠČINA,45.88681,13.90359,Tovarniška cesta,,2,B,Ajdovščina,,Ajdovščina,5270,Ajdovščina
TBILISIJSKA ULICA 59,1000 LJUBLJANA,46.03762,14.47887,Tbilisijska ulica,,59,,Ljubljana,,Ljubljana,1000,Ljubljana
TBILISIJSKA ULICA 59,1000 LJUBLJANA,46.03762,14.47887,Tbilisijska ulica,,59,,Ljubljana,,Ljubljana,1000,Ljubljana
PARTIZANSKA CESTA 59,2000 MARIBOR,46.56358,15.65790,Partizanska cesta,,59,,Maribor,,Maribor,2000,Maribor
PODLEHNIK 9,2286 PODLEHNIK,46.33608,15.87803,Podlehnik,,9,,Podlehnik,,Podlehnik,2286,Podlehnik
ZGORNJE DUPLJE 101 A,4203 DUPLJE,46.30397,14.29648,Zgornje Duplje,,101,A,Zgornje Duplje,,Naklo,4203,Duplje
DOLGA ULICA 82,9000 MURSKA SOBOTA,46.66544,16.14308,Dolga ulica,,82,,Černelavci,,Murska Sobota,9000,Murska Sobota
DOBRNA 50,3204 DOBRNA,46.33966,15.22417,Dobrna,,50,,Dobrna,,Dobrna,3204,Dobrna
GREGORČIČEVA ULICA 5,3000 CELJE,46.23224,15.26227,Gregorčičeva ulica,,5,,Celje,,Celje,3000,Celje
PUŠTAL 108,4220 ŠKOFJA LOKA,46.16085,14.31135,Puštal,,108,,Puštal,,Škofja Loka,4220,Škofja Loka
PRIJATELJEVA ULICA 2,1000 LJUBLJANA,46.04409,14.50840,Prijateljeva ulica,,2,,Ljubljana,,Ljubljana,1000,Ljubljana
ULICA LACKOVEGA ODREDA 6,2341 LIMBUŠ,46.55328,15.58435,Ulica Lackovega odreda,,6,,Limbuš,,Maribor,2341,Limbuš
MESTNI TRG 2,1230 DOMŽALE,46.13975,14.59617,Mestni trg,,2,,Domžale,,Domžale,1230,Domžale
PTUJSKA CESTA 13,2204 MIKLAVŽ NA DRAVSKEM POLJU,46.51263,15.69050,Ptujska cesta,,13,,Miklavž na Dravskem polju,,Miklavž na Dravskem polju,2204,Miklavž na Dravskem polju
ULICA BRATOV UČAKAR 64,1000 LJUBLJANA,46.07216,14.47257,Ulica bratov Učakar,,64,,Ljubljana,,Ljubljana,1000,Ljubljana
VOJKOVO NABREŽJE 23,6000 KOPER - CAPODISTRIA,45.54627,13.73404,Vojkovo nabrežje,Riva Janko Premrl-Vojko,23,,Koper,Capodistria,Koper,6000,Koper - Capodistria
KOLINSKA ULICA 1,1000 LJUBLJANA,46.05983,14.52249,Kolinska ulica,,1,,Ljubljana,,Ljubljana,1000,Ljubljana
CESTA V MESTNI LOG 55,1000 LJUBLJANA,46.03620,14.48957,Cesta v Mestni log,,55,,Ljubljana,,Ljubljana,1000,Ljubljana
GASPARIJEVA ULICA 12,1000 LJUBLJANA,46.05233,14.52825,Gasparijeva ulica,,12,,Ljubljana,,Ljubljana,1000,Ljubljana
CESTA V ROŠPOH 24 A,2351 KAMNICA,46.57287,15.61260,Cesta v Rošpoh,,24,A,Kamnica,,Maribor,2351,Kamnica
RAJŠPOVA ULICA 16,2250 PTUJ,46.41951,15.88151,Rajšpova ulica,,16,,Ptuj,,Ptuj,2250,Ptuj
MEJAČEVA ULICA 3,1353 BOROVNICA,45.91998,14.36563,Mejačeva ulica,,3,,Borovnica,,Borovnica,1353,Borovnica
BREG 6 A,2322 MAJŠPERK,46.33947,15.73623,Breg,,6,A,Breg,,Majšperk,2322,Majšperk
BREG 6 A,2322 MAJŠPERK,46.33947,15.73623,Breg,,6,A,Breg,,Majšperk,2322,Majšperk
TIVOLSKA CESTA 48,1000 LJUBLJANA,46.05758,14.50466,Tivolska cesta,,48,,Ljubljana,,Ljubljana,1000,Ljubljana
ULICA BRATOV BABNIK 10,1000 LJUBLJANA,46.07645,14.46600,Ulica bratov Babnik,,10,,Ljubljana,,Ljubljana,1000,Ljubljana
MESTNI TRG 2,1230 DOMŽALE,46.13975,14.59617,Mestni trg,,2,,Domžale,,Domžale,1230,Domžale
ULICA VLADIMIRJA DOLNIČARJA 11,1356 DOBROVA,46.05355,14.41726,Ulica Vladimirja Dolničarja,,11,,Dobrova,,Dobrova-Polhov Gradec,1356,Dobrova
CESTA NA BRDO 63,1000 LJUBLJANA,46.04564,14.46976,Cesta na Brdo,,63,,Ljubljana,,Ljubljana,1000,Ljubljana
ZALOŠKA CESTA 2,1000 LJUBLJANA,46.05221,14.52078,Zaloška cesta,,2,,Ljubljana,,Ljubljana,1000,Ljubljana
LJUBLJANSKA ULICA 5,2000 MARIBOR,46.55289,15.64858,Ljubljanska ulica,,5,,Maribor,,Maribor,2000,Maribor
MESTNI TRG 17,3210 SLOVENSKE KONJICE,46.33998,15.42862,Mestni trg,,17,,Slovenske Konjice,,Slovenske Konjice,3210,Slovenske Konjice
VODOVODNA CESTA 109,1000 LJUBLJANA,46.07871,14.50194,Vodovodna cesta,,109,,Ljubljana,,Ljubljana,1000,Ljubljana
VODOVODNA CESTA 109,1000 LJUBLJANA,46.07871,14.50194,Vodovodna cesta,,109,,Ljubljana,,Ljubljana,1000,Ljubljana
STARA CESTA 10,4220 ŠKOFJA LOKA,46.16618,14.31281,Stara cesta,,10,,Škofja Loka,,Škofja Loka,4220,Škofja Loka
ROŠKA CESTA 18,1330 KOČEVJE,45.63938,14.86562,Roška cesta,,18,,Kočevje,,Kočevje,1330,Kočevje
GLAVNI TRG 47,2366 MUTA,46.61055,15.16488,Glavni trg,,47,,Muta,,Muta,2366,Muta
TRG 4. JULIJA 9,2370 DRAVOGRAD,46.58921,15.02233,Trg 4. julija,,9,,Dravograd,,Dravograd,2370,Dravograd
PREČNA POT 4 D,6320 PORTOROŽ - PORTOROSE,45.51588,13.58730,Prečna pot,Traversale,4,D,Portorož,Portorose,Piran,6320,Portorož - Portorose
CESTA 4. MAJA 17,1380 CERKNICA,45.79122,14.36578,Cesta 4. maja,,17,,Cerknica,,Cerknica,1380,Cerknica
CESTA NOTRANJSKEGA ODREDA 36,1386 STARI TRG PRI LOŽU,45.71325,14.47221,Cesta Notranjskega odreda,,36,,Stari trg pri Ložu,,Loška dolina,1386,Stari trg pri Ložu
GLAVNI TRG 15,3313 POLZELA,46.27950,15.07495,Glavni trg,,15,,Polzela,,Polzela,3313,Polzela
GABRŠČKOVA ULICA 91,1000 LJUBLJANA,46.04743,14.46956,Gabrščkova ulica,,91,,Ljubljana,,Ljubljana,1000,Ljubljana
DUNAJSKA CESTA 5,1000 LJUBLJANA,46.05937,14.50613,Dunajska cesta,,5,,Ljubljana,,Ljubljana,1000,Ljubljana
GLONARJEVA ULICA 4,1000 LJUBLJANA,46.04965,14.52687,Glonarjeva ulica,,4,,Ljubljana,,Ljubljana,1000,Ljubljana
VIDEM PRI PTUJU 51,2284 VIDEM PRI PTUJU,46.36906,15.90255,Videm pri Ptuju,,51,,Videm pri Ptuju,,Videm,2284,Videm pri Ptuju
