cityZZZS,addressZZZS,lat,lon,street,streetAlt,housenumber,housenumberAppendix,city,cityAlt,municipalityPart,municipality,zipCode,zipName,statisticalRegion
1315 VELIKE LAŠČE,JAVORŠKOVA ULICA 9,45.83502,14.63767,Javorškova ulica,,9,,Velike Lašče,,,Velike Lašče,1315,Velike Lašče,Osrednjeslovenska
1330 KOČEVJE,KEKČEVA ULICA 3,45.64144,14.85424,Kekčeva ulica,,3,,Kočevje,,Kočevje-mesto,Kočevje,1330,Kočevje,Jugovzhodna Slovenija
1330 KOČEVJE,LJUBLJANSKA CESTA 19,45.64149,14.85688,Ljubljanska cesta,,19,,Kočevje,,Kočevje-mesto,Kočevje,1330,Kočevje,Jugovzhodna Slovenija
1330 KOČEVJE,ROŠKA CESTA 16,45.63880,14.86553,Roška cesta,,16,,Kočevje,,Kočevje-mesto,Kočevje,1330,Kočevje,Jugovzhodna Slovenija
1330 KOČEVJE,ROŠKA CESTA 17,45.63932,14.86400,Roška cesta,,17,,Kočevje,,Kočevje-mesto,Kočevje,1330,Kočevje,Jugovzhodna Slovenija
1330 KOČEVJE,ROŠKA CESTA 18,45.63938,14.86562,Roška cesta,,18,,Kočevje,,Kočevje-mesto,Kočevje,1330,Kočevje,Jugovzhodna Slovenija
1330 KOČEVJE,ROŠKA CESTA 22,45.64005,14.86716,Roška cesta,,22,,Kočevje,,Kočevje-mesto,Kočevje,1330,Kočevje,Jugovzhodna Slovenija
1351 BREZOVICA PRI LJUBLJANI,NOVA POT 5,46.00970,14.41547,Nova pot,,5,,Vnanje Gorice,,Vnanje Gorice,Brezovica,1351,Brezovica pri Ljubljani,Osrednjeslovenska
1351 BREZOVICA PRI LJUBLJANI,PODPEŠKA CESTA 14,46.02162,14.41607,Podpeška cesta,,14,,Brezovica pri Ljubljani,,Brezovica,Brezovica,1351,Brezovica pri Ljubljani,Osrednjeslovenska
1351 BREZOVICA PRI LJUBLJANI,PODPEŠKA CESTA 208,46.00242,14.41325,Podpeška cesta,,208,,Vnanje Gorice,,Vnanje Gorice,Brezovica,1351,Brezovica pri Ljubljani,Osrednjeslovenska
1352 PRESERJE,DOLENJA BREZOVICA 11,45.94773,14.42655,Dolenja Brezovica,,11,,Dolenja Brezovica,,Preserje,Brezovica,1352,Preserje,Osrednjeslovenska
1352 PRESERJE,JEZERO 1,45.97634,14.41959,Jezero,,1,,Jezero,,Preserje,Brezovica,1352,Preserje,Osrednjeslovenska
1352 PRESERJE,RAKITNA 96,45.89044,14.44624,Rakitna,,96,,Rakitna,,Rakitna,Brezovica,1352,Preserje,Osrednjeslovenska
1353 BOROVNICA,MEJAČEVA ULICA 3,45.91998,14.36563,Mejačeva ulica,,3,,Borovnica,,,Borovnica,1353,Borovnica,Osrednjeslovenska
1354 HORJUL,SLOVENSKA CESTA 17,46.02461,14.29536,Slovenska cesta,,17,,Horjul,,,Horjul,1354,Horjul,Osrednjeslovenska
1354 HORJUL,ŠENTJOŠT NAD HORJULOM 49 A,46.03859,14.22049,Šentjošt nad Horjulom,,49,A,Šentjošt nad Horjulom,,Šentjošt,Dobrova-Polhov Gradec,1354,Horjul,Osrednjeslovenska
1355 POLHOV GRADEC,BRIŠE PRI POLHOVEM GRADCU 1,46.05864,14.30332,Briše pri Polhovem Gradcu,,1,,Briše pri Polhovem Gradcu,,Polhov Gradec,Dobrova-Polhov Gradec,1355,Polhov Gradec,Osrednjeslovenska
1355 POLHOV GRADEC,PODREBER 12 C,46.06336,14.32001,Podreber,,12,C,Podreber,,Polhov Gradec,Dobrova-Polhov Gradec,1355,Polhov Gradec,Osrednjeslovenska
1355 POLHOV GRADEC,POLHOV GRADEC 13,46.06521,14.31457,Polhov Gradec,,13,,Polhov Gradec,,Polhov Gradec,Dobrova-Polhov Gradec,1355,Polhov Gradec,Osrednjeslovenska
1355 POLHOV GRADEC,PRAPROČE 3,46.05929,14.29500,Praproče,,3,,Praproče,,Polhov Gradec,Dobrova-Polhov Gradec,1355,Polhov Gradec,Osrednjeslovenska
1356 DOBROVA,BREZJE PRI DOBROVI 11,46.02784,14.34540,Brezje pri Dobrovi,,11,,Brezje pri Dobrovi,,Dobrova,Dobrova-Polhov Gradec,1356,Dobrova,Osrednjeslovenska
1356 DOBROVA,POLHOGRAJSKA CESTA 37,46.05477,14.41679,Polhograjska cesta,,37,,Dobrova,,Dobrova,Dobrova-Polhov Gradec,1356,Dobrova,Osrednjeslovenska
1356 DOBROVA,STRANSKA VAS 15,46.06359,14.42249,Stranska vas,,15,,Stranska vas,,Dobrova,Dobrova-Polhov Gradec,1356,Dobrova,Osrednjeslovenska
1356 DOBROVA,ULICA VLADIMIRJA DOLNIČARJA 11,46.05355,14.41726,Ulica Vladimirja Dolničarja,,11,,Dobrova,,Dobrova,Dobrova-Polhov Gradec,1356,Dobrova,Osrednjeslovenska
1357 NOTRANJE GORICE,GMAJNA 7,45.99556,14.40795,Gmajna,,7,,Notranje Gorice,,Notranje Gorice,Brezovica,1357,Notranje Gorice,Osrednjeslovenska
1357 NOTRANJE GORICE,PODPEŠKA CESTA 380,45.98948,14.40273,Podpeška cesta,,380,,Notranje Gorice,,Notranje Gorice,Brezovica,1357,Notranje Gorice,Osrednjeslovenska
1357 NOTRANJE GORICE,ZA MOSTIČKOM 14,45.99636,14.40920,Za mostičkom,,14,,Notranje Gorice,,Notranje Gorice,Brezovica,1357,Notranje Gorice,Osrednjeslovenska
1358 LOG PRI BREZOVICI,CESTA NA POLJE 2,46.00732,14.35305,Cesta na polje,,2,,Log pri Brezovici,,,Log-Dragomer,1358,Log pri Brezovici,Osrednjeslovenska
1360 VRHNIKA,BRIGADIRSKA CESTA 16,45.96273,14.30258,Brigadirska cesta,,16,,Verd,,Verd,Vrhnika,1360,Vrhnika,Osrednjeslovenska
1360 VRHNIKA,CESTA 6. MAJA 11,45.96278,14.29358,Cesta 6. maja,,11,,Vrhnika,,Vrhnika Center,Vrhnika,1360,Vrhnika,Osrednjeslovenska
1360 VRHNIKA,IDRIJSKA CESTA 13,45.96364,14.28875,Idrijska cesta,,13,,Vrhnika,,Vrhnika Vas,Vrhnika,1360,Vrhnika,Osrednjeslovenska
1360 VRHNIKA,MED VRTOVI 8,45.96540,14.28766,Med vrtovi,,8,,Vrhnika,,Vrhnika Vas,Vrhnika,1360,Vrhnika,Osrednjeslovenska
1360 VRHNIKA,NA KLANCU 22,45.96633,14.29340,Na klancu,,22,,Vrhnika,,Vrhnika Vas,Vrhnika,1360,Vrhnika,Osrednjeslovenska
1360 VRHNIKA,POD HRUŠEVCO 33,45.97336,14.29506,Pod Hruševco,,33,,Vrhnika,,Vrhnika Breg,Vrhnika,1360,Vrhnika,Osrednjeslovenska
1360 VRHNIKA,ROBOVA CESTA 6,45.96751,14.29722,Robova cesta,,6,,Vrhnika,,Vrhnika Breg,Vrhnika,1360,Vrhnika,Osrednjeslovenska
1360 VRHNIKA,SINJA GORICA 7,45.97963,14.31058,Sinja Gorica,,7,,Sinja Gorica,,Sinja Gorica,Vrhnika,1360,Vrhnika,Osrednjeslovenska
1360 VRHNIKA,STARA VRHNIKA 31,45.97727,14.28382,Stara Vrhnika,,31,,Stara Vrhnika,,Stara Vrhnika,Vrhnika,1360,Vrhnika,Osrednjeslovenska
1370 LOGATEC,GUBČEVA ULICA 1,45.91689,14.21786,Gubčeva ulica,,1,,Logatec,,Naklo,Logatec,1370,Logatec,Osrednjeslovenska
1370 LOGATEC,GUBČEVA ULICA 8 A,45.91896,14.21734,Gubčeva ulica,,8,A,Logatec,,Naklo,Logatec,1370,Logatec,Osrednjeslovenska
1370 LOGATEC,NOTRANJSKA CESTA 2,45.91681,14.22768,Notranjska cesta,,2,,Logatec,,Naklo,Logatec,1370,Logatec,Osrednjeslovenska
1370 LOGATEC,PARTIZANSKA ULICA 8 A,45.91832,14.22152,Partizanska ulica,,8,A,Logatec,,Naklo,Logatec,1370,Logatec,Osrednjeslovenska
1370 LOGATEC,ŠOLSKA POT 1,45.91693,14.22877,Šolska pot,,1,,Logatec,,Naklo,Logatec,1370,Logatec,Osrednjeslovenska
1380 CERKNICA,CESTA 4. MAJA 17,45.79122,14.36578,Cesta 4. maja,,17,,Cerknica,,Cerknica,Cerknica,1380,Cerknica,Primorsko-notranjska
1380 CERKNICA,CESTA POD SLIVNICO 21,45.79663,14.36783,Cesta pod Slivnico,,21,,Cerknica,,Cerknica,Cerknica,1380,Cerknica,Primorsko-notranjska
1386 STARI TRG PRI LOŽU,CESTA NOTRANJSKEGA ODREDA 36,45.71325,14.47221,Cesta Notranjskega odreda,,36,,Stari trg pri Ložu,,,Loška dolina,1386,Stari trg pri Ložu,Primorsko-notranjska
1410 ZAGORJE OB SAVI,CESTA 9. AVGUSTA 59 C,46.13569,15.00237,Cesta 9. avgusta,,59,C,Zagorje ob Savi,,Franc Farčnik,Zagorje ob Savi,1410,Zagorje ob Savi,Zasavska
1410 ZAGORJE OB SAVI,CESTA 9. AVGUSTA 8 B,46.13429,14.99599,Cesta 9. avgusta,,8,B,Zagorje ob Savi,,Jože Marn,Zagorje ob Savi,1410,Zagorje ob Savi,Zasavska
1410 ZAGORJE OB SAVI,CESTA ZMAGE 1,46.13384,14.99570,Cesta zmage,,1,,Zagorje ob Savi,,Jože Marn,Zagorje ob Savi,1410,Zagorje ob Savi,Zasavska
1410 ZAGORJE OB SAVI,MARNOVA ULICA 31 A,46.12735,14.99425,Marnova ulica,,31,A,Zagorje ob Savi,,Jože Marn,Zagorje ob Savi,1410,Zagorje ob Savi,Zasavska
1411 IZLAKE,IZLAKE 13,46.15540,14.92923,Izlake,,13,,Izlake,,Izlake,Zagorje ob Savi,1411,Izlake,Zasavska
1411 IZLAKE,PODLIPOVICA 43,46.16391,14.90922,Podlipovica,,43,,Podlipovica,,Izlake,Zagorje ob Savi,1411,Izlake,Zasavska
1420 TRBOVLJE,KOLONIJA 1. MAJA 21,46.15019,15.05220,Kolonija 1. maja,,21,,Trbovlje,,Fric Keršič,Trbovlje,1420,Trbovlje,Zasavska
1420 TRBOVLJE,OBRTNIŠKA CESTA 29,46.15872,15.05307,Obrtniška cesta,,29,,Trbovlje,,Franc Fakin,Trbovlje,1420,Trbovlje,Zasavska
1420 TRBOVLJE,OPEKARNA 1,46.14717,15.04335,Opekarna,,1,,Trbovlje,,Trbovlje - center,Trbovlje,1420,Trbovlje,Zasavska
1420 TRBOVLJE,RUDARSKA CESTA 12,46.15510,15.04796,Rudarska cesta,,12,,Trbovlje,,Trbovlje - center,Trbovlje,1420,Trbovlje,Zasavska
1420 TRBOVLJE,RUDARSKA CESTA 9,46.15398,15.04710,Rudarska cesta,,9,,Trbovlje,,Trbovlje - center,Trbovlje,1420,Trbovlje,Zasavska
1430 HRASTNIK,CESTA ADAMA DUŠAKA 6,46.14922,15.08593,Cesta Adama Dušaka,,6,,Hrastnik,,Rudnik,Hrastnik,1430,Hrastnik,Zasavska
1430 HRASTNIK,NOVI DOM 11,46.14030,15.08513,Novi dom,,11,,Hrastnik,,Rudnik,Hrastnik,1430,Hrastnik,Zasavska
1430 HRASTNIK,NOVI LOG 4 A,46.14167,15.08217,Novi log,,4,A,Hrastnik,,Rudnik,Hrastnik,1430,Hrastnik,Zasavska
1431 DOL PRI HRASTNIKU,TRG BORCEV NOB 13,46.14123,15.11613,Trg borcev NOB,,13,,Dol pri Hrastniku,,Dol pri Hrastniku,Hrastnik,1431,Dol pri Hrastniku,Zasavska
1433 RADEČE,ULICA OF 8,46.06587,15.18065,Ulica OF,,8,,Radeče,,Radeče,Radeče,1433,Radeče,Posavska
